ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family_Glottocode,Family_Name
madi1261,Madi (Papua New Guinea),Papunesia,-5.63017,146.407,madi1261,grg,nucl1709,Nuclear Trans New Guinea
ikar1243,Ikaranggal,Australia,,,ikar1243,ikr,pama1250,Pama-Nyungan
gida1240,Gidabal,Australia,,,gida1240,gih,pama1250,Pama-Nyungan
tong1325,Tonga (Tonga Islands),Papunesia,-21.17,-175.25,tong1325,ton,aust1307,Austronesian
kang1281,Kangjia,Eurasia,35.043,101.254,kang1281,kxs,mong1329,Mongolic
tuka1248,Tukang Besi North,Papunesia,-5.30994,123.578,tuka1248,khc,aust1307,Austronesian
usar1243,Usarufa,Papunesia,-6.38898,145.633,usar1243,usa,nucl1709,Nuclear Trans New Guinea
maun1240,Mawng,Australia,-11.8393,133.185,maun1240,mph,iwai1246,Iwaidjan Proper
yora1241,Yora,South America,-11.3704,-72.0409,yora1241,mts,pano1259,Pano-Tacanan
tama1365,Tamasheq,Africa,14.2038,-2.41269,tama1365,taq,afro1255,Afro-Asiatic
kart1247,Kartujarra,Australia,,,kart1247,mpj,pama1250,Pama-Nyungan
yeyi1239,Yeyi,Africa,-18.9178,23.6088,yeyi1239,yey,atla1278,Atlantic-Congo
ngad1258,Ngadjunmaya,Australia,-32.02447,124.46601,ngad1258,nju,pama1250,Pama-Nyungan
ingu1240,Ingush,Eurasia,43.11,45.03,ingu1240,inh,nakh1245,Nakh-Daghestanian
wurr1238,Wurrugu,Australia,-11.364,132.303,wurr1238,wur,marr1257,Marrku-Wurrugu
luok1236,Luo (Kenya and Tanzania),Africa,-0.93296,34.4896,luok1236,luo,nilo1247,Nilotic
nort2943,North Alaskan Inupiatun,North America,69.582,-143.77,nort2943,esi,eski1264,Eskimo-Aleut
nugu1242,Nugunu (Cameroon),Africa,4.63103,11.1837,nugu1242,yas,atla1278,Atlantic-Congo
bela1260,Lemeting,Papunesia,4.96207,114.933,bela1260,beg,aust1307,Austronesian
adam1253,Adamawa Fulfulde,Africa,8.140326,13.077338,adam1253,fub,atla1278,Atlantic-Congo
ligu1248,Ligurian,Eurasia,44.0816,7.90522,ligu1248,lij,indo1319,Indo-European
xhos1239,Xhosa,Africa,-31.0389,28.0769,xhos1239,xho,atla1278,Atlantic-Congo
nuku1263,Nukuini,South America,-7.339,-73.5044,nuku1263,nuc,pano1259,Pano-Tacanan
stan1293,English,Eurasia,53.0,-1.0,stan1293,eng,indo1319,Indo-European
xwel1235,Xwela Gbe,Africa,6.41342,2.02985,xwel1235,xwe,atla1278,Atlantic-Congo
naki1238,Naki,Africa,6.62784,10.2378,naki1238,mff,atla1278,Atlantic-Congo
buam1238,Buamu,Africa,11.1687,-3.50303,buam1238,box,atla1278,Atlantic-Congo
nucl1417,Igbo,Africa,4.62705,7.23441,nucl1417,ibo,atla1278,Atlantic-Congo
kaiw1246,Kaiwá,South America,-24.589,-54.6815,kaiw1246,kgk,tupi1275,Tupian
wadi1261,Wadikali,Australia,,,wadi1261,wdk,pama1250,Pama-Nyungan
libe1240,Kru Pidgin English,Africa,6.423,-10.5284,libe1240,lir,pidg1258,Pidgin
juan1238,Juang,Eurasia,21.2606,85.5845,juan1238,jun,aust1305,Austroasiatic
juma1249,Júma,South America,-7.27501,-64.0998,juma1249,jua,tupi1275,Tupian
slov1268,Slovenian,Eurasia,46.2543,14.7766,slov1268,slv,indo1319,Indo-European
tuyu1244,Tuyuca,South America,0.39441,-70.043515,tuyu1244,tue,tuca1253,Tucanoan
yura1255,Yuracaré,South America,-16.7479,-65.1224,yura1255,yuz,,
chok1243,Chokri Naga,Eurasia,25.5636,94.2887,chok1243,nri,sino1245,Sino-Tibetan
dyaa1242,Dyaabugay,Australia,-16.596,145.388,dyaa1242,dyy,pama1250,Pama-Nyungan
jams1239,Jamsay Dogon,Africa,14.1794,-2.57999,jams1239,djm,dogo1299,Dogon
nort2626,Northern Frisian,Eurasia,54.6409,8.58489,nort2626,frr,indo1319,Indo-European
kung1258,Kunggari,Australia,-24.2182,143.222,kung1258,kgl,pama1250,Pama-Nyungan
yare1248,Yareba,Papunesia,-9.50651,148.605,yare1248,yrb,yare1250,Yareban
egaa1242,Ega,Africa,5.56081,-5.41732,egaa1242,ega,atla1278,Atlantic-Congo
fiji1243,Fijian,Papunesia,-18.0,178.33,fiji1243,fij,aust1307,Austronesian
yami1256,Yaminahua,South America,-9.8846,-71.5964,yami1256,yaa,pano1259,Pano-Tacanan
kohu1244,Kohumono,Africa,5.92596,7.96202,kohu1244,bcs,atla1278,Atlantic-Congo
juho1239,South-Eastern Ju,Africa,-19.688,20.7673,juho1239,ktz,kxaa1236,Kxa
bafa1249,Bafanji,Africa,5.84612,10.4518,bafa1249,bfj,atla1278,Atlantic-Congo
darl1243,Paakantyi,Australia,-32.7021,142.695,darl1243,drl,pama1250,Pama-Nyungan
ming1252,Mingrelian,Eurasia,42.5129,41.8719,ming1252,xmf,kart1248,Kartvelian
gwen1239,Gweno,Africa,-3.68407,37.6827,gwen1239,gwe,atla1278,Atlantic-Congo
lusi1240,Lusi,Papunesia,-5.55033,149.148,lusi1240,khl,aust1307,Austronesian
ndal1241,Ndali,Africa,-9.88948,33.6118,ndal1241,ndh,atla1278,Atlantic-Congo
gbay1288,Gbaya (Sudan),Africa,8.43391,25.5173,gbay1288,krs,kres1240,Kresh-Aja
tada1238,Tadaksahak,Africa,16.685,2.32653,tada1238,dsq,song1307,Songhay
acat1239,Acatepec Me'phaa,North America,17.1034,-99.0602,acat1239,tpx,otom1299,Otomanguean
thii1234,Thiin,Australia,,,thii1234,iin,pama1250,Pama-Nyungan
ngar1297,Ngarigu,Australia,-36.23,149.13,ngar1297,xni,pama1250,Pama-Nyungan
toba1269,Toba,South America,-24.40253,-60.4472866667,toba1269,tob,guai1249,Guaicuruan
guja1252,Gujarati,Eurasia,22.687,71.0962,guja1252,guj,indo1319,Indo-European
kuru1302,Kurukh,Eurasia,24.4644,86.4657,kuru1302,kru,drav1251,Dravidian
sanm1289,San Martín Quechua,South America,-6.9582,-76.6608,sanm1289,qvs,quec1387,Quechuan
dawr1236,Dawro,Africa,6.95,37.0,dawr1236,dwr,gong1255,Ta-Ne-Omotic
akoo1248,Akoose,Africa,4.9243,9.65522,akoo1248,bss,atla1278,Atlantic-Congo
mada1293,Mada (Cameroon),Africa,10.8806,14.1142,mada1293,mxu,afro1255,Afro-Asiatic
ofay1240,Ofayé,South America,-22.278,-53.7227,ofay1240,opy,nucl1710,Nuclear-Macro-Je
juru1256,Jurúna,South America,-10.9354,-53.3472,juru1256,jur,tupi1275,Tupian
kuni1267,Kunimaipa,Papunesia,-8.09371,146.908,kuni1267,kup,goil1242,Goilalan
pait1247,Pai Tavytera,South America,-23.15945,-56.11758,pait1247,pta,tupi1275,Tupian
maka1304,Makaa,Africa,4.15471,13.0789,maka1304,mcp,atla1278,Atlantic-Congo
hang1260,Hangaza,Africa,-2.52347,30.7074,hang1260,han,atla1278,Atlantic-Congo
wich1260,Wichita,North America,35.0665,-98.1831,wich1260,wic,cadd1255,Caddoan
coeu1236,Coeur d'Alene,North America,47.2958,-116.715,coeu1236,crd,sali1255,Salishan
pira1254,Wa'ikhana,South America,0.50714,-69.5032,pira1254,pir,tuca1253,Tucanoan
pula1263,Pulaar,Africa,13.8694,-13.4482,pula1263,fuc,atla1278,Atlantic-Congo
gaga1249,Gagauz,Eurasia,44.5988,28.0277,gaga1249,gag,turk1311,Turkic
yaoo1241,Yao,Africa,-13.6119,35.2387,yaoo1241,yao,atla1278,Atlantic-Congo
doya1240,Doyayo,Africa,8.68604,13.0768,doya1240,dow,atla1278,Atlantic-Congo
yard1234,Yardliyawarra,Australia,,,yard1234,yxl,pama1250,Pama-Nyungan
mund1325,Mundang,Africa,9.83195,14.4751,mund1325,mua,atla1278,Atlantic-Congo
gads1258,Gadsup,Papunesia,-6.31631,145.997,gads1258,gaj,nucl1709,Nuclear Trans New Guinea
mayo1261,Mayogo,Africa,2.79827,27.8282,mayo1261,mdm,atla1278,Atlantic-Congo
orok1269,Orokaiva,Papunesia,-8.79019,148.09,orok1269,okv,nucl1709,Nuclear Trans New Guinea
tiag1235,Tiagbamrin Aizi,Africa,5.28022,-4.62352,tiag1235,ahi,atla1278,Atlantic-Congo
krac1238,Krache,Africa,7.93475,0.01925,krac1238,kye,atla1278,Atlantic-Congo
zayy1238,Zay,Africa,8.01148,38.8258,zayy1238,zwa,afro1255,Afro-Asiatic
oyka1239,Oykangand,Australia,,,oyka1239,kjn,pama1250,Pama-Nyungan
gavi1246,Gavião Do Jiparaná,South America,-10.7235,-61.6752,gavi1246,gvo,tupi1275,Tupian
yuga1244,Yugambal,Australia,-27.803,153.082,yuga1244,yub,pama1250,Pama-Nyungan
suru1262,Suruí,South America,-11.0989,-61.2818,suru1262,sru,tupi1275,Tupian
godi1239,Godié,Africa,5.3944,-5.82696,godi1239,god,atla1278,Atlantic-Congo
nort2646,Northern Pashto,Eurasia,34.0,71.33,nort2646,pbu,indo1319,Indo-European
buku1249,Bukusu,Africa,0.68043,34.7719,buku1249,bxk,atla1278,Atlantic-Congo
keda1250,Kedayan,Papunesia,,,keda1250,kxd,aust1307,Austronesian
wikn1246,Wikngenchera,Australia,-13.4957,141.599,wikn1246,wua,pama1250,Pama-Nyungan
besl1239,Besleri,Africa,,,besl1239,hna,afro1255,Afro-Asiatic
lezg1247,Lezgian,Eurasia,41.5157,47.8951,lezg1247,lez,nakh1245,Nakh-Daghestanian
saba1262,Sabaot,Africa,1.01297,34.6664,saba1262,spy,nilo1247,Nilotic
lega1249,Lega-Shabunda,Africa,-3.83196,27.1424,lega1249,lea,atla1278,Atlantic-Congo
patt1248,Pattani,Eurasia,32.6963,76.5966,patt1248,lae,sino1245,Sino-Tibetan
nort2819,Northern Bobo Madaré,Africa,12.4182,-4.47538,nort2819,bbo,mand1469,Mande
adio1239,Adioukrou,Africa,5.38228,-4.52522,adio1239,adj,atla1278,Atlantic-Congo
yagu1244,Yagua,South America,-3.42913,-72.2186,yagu1244,yad,peba1241,Peba-Yagua
poko1263,Pökoot,Africa,1.57023,35.2318,poko1263,pko,nilo1247,Nilotic
guma1253,Gumatj,Australia,-12.25254,136.83042,guma1253,gnn,pama1250,Pama-Nyungan
nucl1418,Bassa,Africa,7.27501,-11.543,nucl1418,bsq,atla1278,Atlantic-Congo
sout2991,South Bolivian Quechua,South America,-20.9201,-66.3331,sout2991,quh,quec1387,Quechuan
nubi1253,Nubi,Africa,-0.183215,34.7552,nubi1253,kcn,afro1255,Afro-Asiatic
mwan1247,Mwani,Africa,-12.5821,40.4601,mwan1247,wmw,atla1278,Atlantic-Congo
mono1269,Mono (Cameroon),Africa,8.78372,14.2254,mono1269,mru,atla1278,Atlantic-Congo
maga1260,Magahi,Eurasia,25.0915,85.3335,maga1260,mag,indo1319,Indo-European
irul1243,Irula of the Nilgiri,Eurasia,12.70645,79.95209,irul1243,iru,drav1251,Dravidian
chim1309,Chimila,South America,10.1902,-74.2559,chim1309,cbg,chib1249,Chibchan
enap1235,Panare,South America,6.95035,-65.8483,enap1235,pbh,cari1283,Cariban
west2442,Western Anmatyerre,Australia,,,west2442,amx,pama1250,Pama-Nyungan
nort2954,Northern Paiute,North America,40.0799,-119.536,nort2954,pao,utoa1244,Uto-Aztecan
nina1238,Ninam,South America,4.03894,-62.7801,nina1238,shb,yano1268,Yanomamic
warr1255,Warrgamay,Australia,-18.5468,146.179,warr1255,wgy,pama1250,Pama-Nyungan
kwes1244,Kwese,Africa,-5.60445,18.5759,kwes1244,kws,atla1278,Atlantic-Congo
mudb1240,Mudburra,Australia,-16.7694,132.329,mudb1240,mwd,pama1250,Pama-Nyungan
ghod1238,Godoberi,Eurasia,42.7428,46.2252,ghod1238,gdo,nakh1245,Nakh-Daghestanian
oriy1255,Odia,Eurasia,21.0,85.0,oriy1255,ory,indo1319,Indo-European
seri1257,Seri,North America,28.9877,-112.384,seri1257,sei,,
adze1240,Adzera,Papunesia,-6.39394,146.294,adze1240,adz,aust1307,Austronesian
sodd1242,Soddo,Africa,,,sodd1242,gru,afro1255,Afro-Asiatic
mart1254,Marti Ke,Australia,-14.0058,129.837,mart1254,zmg,west2434,Western Daly
nort2686,Northern Altai,Eurasia,50.8998,88.0672,nort2686,atv,turk1311,Turkic
waju1234,Wajuk,Australia,,,waju1234,xwj,pama1250,Pama-Nyungan
jumj1238,Jumjum,Africa,10.4349,33.7494,jumj1238,jum,nilo1247,Nilotic
ajas1235,Aja (Sudan),Africa,8.58003,25.6122,ajas1235,aja,kres1240,Kresh-Aja
taji1245,Tajik,Eurasia,38.8213,68.5549,taji1245,tgk,indo1319,Indo-European
tibe1272,Tibetan,Eurasia,28.3681,90.1872,tibe1272,bod,sino1245,Sino-Tibetan
cent2150,Central Tunebo,South America,6.8867,-72.097,cent2150,tuf,chib1249,Chibchan
lele1276,Lele (Chad),Africa,9.158,15.81149,lele1276,lln,afro1255,Afro-Asiatic
genn1243,Gen,Africa,6.25971,1.67727,genn1243,gej,atla1278,Atlantic-Congo
iran1263,Irántxe-Münkü,South America,-12.7178,-57.9806,iran1263,irn,,
ngko1236,Ngkoth,Australia,-12.740575,141.886762,ngko1236,,pama1250,Pama-Nyungan
huic1243,Huichol,North America,21.954,-104.062,huic1243,hch,utoa1244,Uto-Aztecan
phut1244,Phu Thai,Eurasia,17.7544966667,104.684233333,phut1244,pht,taik1256,Tai-Kadai
yukp1241,Yukpa,South America,9.67534,-73.0557,yukp1241,yup,cari1283,Cariban
mbee1249,Mbe,Africa,6.57067,8.82998,mbee1249,mfo,atla1278,Atlantic-Congo
tagw1240,Tagwana Senoufo,Africa,8.67053,-5.17372,tagw1240,tgw,atla1278,Atlantic-Congo
kuii1252,Kui (India),Eurasia,19.2043,83.5859,kuii1252,kxu,drav1251,Dravidian
jand1248,Jandai,Australia,,,jand1248,jan,pama1250,Pama-Nyungan
cupe1243,Cupeño,North America,33.3148,-116.515,cupe1243,cup,utoa1244,Uto-Aztecan
naxi1245,Naxi,Eurasia,27.5,100.0,naxi1245,nxq,sino1245,Sino-Tibetan
gamb1251,Gambera,Australia,-14.29546,126.27131,gamb1251,gma,worr1236,Worrorran
shil1265,Shilluk,Africa,9.85472,31.7926,shil1265,shk,nilo1247,Nilotic
ando1256,Andoque,South America,-0.53751,-72.0869,ando1256,ano,,
stan1289,Catalan,Eurasia,41.453,1.569,stan1289,cat,indo1319,Indo-European
moro1285,Moro,Africa,10.9194,30.2138,moro1285,mor,heib1242,Heibanic
mbee1250,Mbe',Africa,6.25838,11.0906,mbee1250,mtk,atla1278,Atlantic-Congo
anyi1245,Anyin,Africa,6.31781,-3.30532,anyi1245,any,atla1278,Atlantic-Congo
wirr1237,Wirriyaraay,Australia,,,wirr1237,kld,pama1250,Pama-Nyungan
yuwa1243,Yuwaalayaay,Australia,,,yuwa1243,kld,pama1250,Pama-Nyungan
bial1238,Biali,Africa,11.0382,1.08259,bial1238,beh,atla1278,Atlantic-Congo
iumi1238,Iu Mien,Eurasia,20.83,101.17,iumi1238,ium,hmon1336,Hmong-Mien
guga1239,Gugadj,Australia,-17.8372,141.168,guga1239,ggd,pama1250,Pama-Nyungan
bade1248,Bade,Africa,12.789,10.6557,bade1248,bde,afro1255,Afro-Asiatic
sund1252,Sundanese,Papunesia,-6.89708,107.106,sund1252,sun,aust1307,Austronesian
gumu1244,Northern Gumuz,Africa,11.05,35.93,gumu1244,guk,gumu1250,Gumuz
vlax1238,Vlax Romani,Eurasia,46.8191,14.8451,vlax1238,rmy,indo1319,Indo-European
baga1273,Baga Koga,Africa,10.1286,-13.947,baga1273,bgo,atla1278,Atlantic-Congo
timn1235,Timne,Africa,8.90294,-12.3331,timn1235,tem,atla1278,Atlantic-Congo
mayi1236,Mayi-Kulan,Australia,-18.56,141.46,mayi1236,xyk,pama1250,Pama-Nyungan
obol1243,Obolo,Africa,4.62851,7.81985,obol1243,ann,atla1278,Atlantic-Congo
nade1244,Nadëb,South America,-1.24449,-66.3068,nade1244,mbj,nada1235,Nadahup
nezp1238,Nez Perce,North America,46.3073,-116.408,nezp1238,nez,saha1239,Sahaptian
pare1266,Gorum-Parenga,Eurasia,19.075,83.9723,pare1266,pcj,aust1305,Austroasiatic
kabu1256,Kabuverdianu,Africa,15.0586,-23.6148,kabu1256,kea,indo1319,Indo-European
kist1241,Kistane,Africa,8.33561,38.4763,kist1241,gru,afro1255,Afro-Asiatic
darf1239,Dar Fur Daju,Africa,12.2598,25.3127,darf1239,daj,daju1249,Dajuic
opuu1239,T'apo,Africa,8.47526,33.853,opuu1239,lgn,koma1264,Koman
furr1244,Fur,Africa,12.0455,23.6401,furr1244,fvr,fura1235,Furan
yuca1254,Yucatec Maya,North America,18.7757,-88.9567,yuca1254,yua,maya1287,Mayan
nonu1241,Nonuya,South America,-1.25,-72.5,nonu1241,noj,huit1251,Huitotoan
nyul1247,Nyulnyul,Australia,-16.9129,122.851,nyul1247,nyv,nyul1248,Nyulnyulan
selk1253,Selkup,Eurasia,59.9409,82.3004,selk1253,sel,ural1272,Uralic
aran1237,Arandai,Papunesia,-2.08016,132.983,aran1237,jbj,sout1516,South Bird's Head Family
limb1268,Limbum,Africa,6.58608,10.9802,limb1268,lmp,atla1278,Atlantic-Congo
ngom1271,Ngombale,Africa,5.70306,10.1446,ngom1271,nla,atla1278,Atlantic-Congo
gudj1237,Gudjal,Australia,-19.44157406,144.6482584,gudj1237,,pama1250,Pama-Nyungan
lele1266,Lele (Guinea),Africa,8.98043,-10.371,lele1266,llc,mand1469,Mande
wint1259,Wintu,North America,39.7176,-122.445,wint1259,wit,wint1258,Wintuan
maca1259,Macaguán,South America,6.34582,-71.2671,maca1259,mbn,guah1252,Guahiboan
abua1244,Abua,Africa,4.83057,6.61492,abua1244,abn,atla1278,Atlantic-Congo
lagw1237,Lagwan,Africa,11.5592,14.9884,lagw1237,kot,afro1255,Afro-Asiatic
maln1239,Malngin,Australia,,,maln1239,gue,pama1250,Pama-Nyungan
xokl1240,Xokleng,South America,-26.9217,-49.5886,xokl1240,xok,nucl1710,Nuclear-Macro-Je
teng1272,Tengger,Papunesia,-7.89069,113.037,teng1272,tes,aust1307,Austronesian
wori1245,Worimi,Australia,-32.4806,152.107,wori1245,kda,pama1250,Pama-Nyungan
kupa1239,Kupang Malay,Papunesia,-10.2526,123.63,kupa1239,mkn,aust1307,Austronesian
assa1263,Assamese,Eurasia,26.0876,91.2932,assa1263,asm,indo1319,Indo-European
bela1256,Belanda Bor,Africa,6.6503,27.8232,bela1256,bxb,nilo1247,Nilotic
mwal1237,Mwali Comorian,Africa,-12.3164,43.741,mwal1237,wlc,atla1278,Atlantic-Congo
fraf1238,Frafra,Africa,,,fraf1238,gur,atla1278,Atlantic-Congo
kuun1236,Kuungkari of Barcoo River,Australia,-24.75108713,143.5365228,kuun1236,lku,pama1250,Pama-Nyungan
guru1261,Gurung,Eurasia,27.41687,86.28988,guru1261,gvr,sino1245,Sino-Tibetan
dupa1235,Dupaninan Agta,Papunesia,17.3748,122.188,dupa1235,duo,aust1307,Austronesian
yank1247,Yankunytjatjara,Australia,-26.4064,133.577,yank1247,kdd,pama1250,Pama-Nyungan
lamn1239,Lamnso',Africa,6.39743,11.0684,lamn1239,lns,atla1278,Atlantic-Congo
roto1249,Rotokas,Papunesia,-5.94339,155.154,roto1249,roo,nort2933,North Bougainville
seda1262,Sedang,Eurasia,14.7793,108.027,seda1262,sed,aust1305,Austroasiatic
sout2436,Southwestern Pashto,Eurasia,,,sout2436,pbt,indo1319,Indo-European
pwon1235,Pwo Northern Karen,Eurasia,18.016,98.2709,pwon1235,pww,sino1245,Sino-Tibetan
djap1238,Djapu,Australia,-12.879764,136.417978,djap1238,duj,pama1250,Pama-Nyungan
swed1254,Swedish,Eurasia,59.800634,17.389526,swed1254,swe,indo1319,Indo-European
coca1259,Cocama-Cocamilla,South America,-4.5,-74.0,coca1259,cod,tupi1275,Tupian
sout2746,Southern Thai,Eurasia,6.85668,99.7031,sout2746,sou,taik1256,Tai-Kadai
gayo1244,Gayo,Papunesia,4.3733,97.3456,gayo1244,gay,aust1307,Austronesian
dakp1242,Dakpakha,Eurasia,27.3762,91.8245,dakp1242,dka,sino1245,Sino-Tibetan
bili1250,Bilinarra,Australia,-16.868771,130.533991,bili1250,nbj,pama1250,Pama-Nyungan
ajyi1238,Ajyíninka Apurucayali,South America,-9.82364,-74.61947,ajyi1238,cpc,araw1281,Arawakan
cash1251,Cashibo-Cacataibo,South America,-8.70232,-75.4206,cash1251,cbr,pano1259,Pano-Tacanan
sayu1241,Sayula Popoluca,North America,17.8606,-94.9531,sayu1241,pos,mixe1284,Mixe-Zoque
bese1243,Besermyan,,,,bese1243,udm,ural1272,Uralic
buli1254,Buli (Ghana),Africa,10.5763,-1.26748,buli1254,bwu,atla1278,Atlantic-Congo
dagb1246,Dagbani,Africa,9.64745,-0.43227,dagb1246,dag,atla1278,Atlantic-Congo
abkh1244,Abkhazian,Eurasia,43.056218,41.159115,abkh1244,abk,abkh1242,Abkhaz-Adyge
ward1248,Wardandi,Australia,,,ward1248,wxw,pama1250,Pama-Nyungan
suii1243,Sui,Eurasia,24.0488,106.563,suii1243,swi,taik1256,Tai-Kadai
nort2765,Northern Kissi,Africa,8.7283,-10.4063,nort2765,kqs,atla1278,Atlantic-Congo
dita1238,Ditammari,Africa,10.1614,1.18045,dita1238,tbz,atla1278,Atlantic-Congo
ando1255,Andoa,South America,-3.29664,-76.6056,ando1255,anb,zapa1251,Zaparoan
nort2787,Northern Toussian,Africa,11.133,-4.88274,nort2787,tsp,atla1278,Atlantic-Congo
dhuw1249,Dhuwal,Australia,-12.7825,136.008,dhuw1249,duj,pama1250,Pama-Nyungan
pich1237,Pichis Ashéninka,South America,-10.47249,-74.60281,pich1237,cpu,araw1281,Arawakan
dang1274,Dangaleat,Africa,12.1517,18.385,dang1274,daa,afro1255,Afro-Asiatic
bafa1247,Bafaw-Balong,Africa,4.53307,9.522,bafa1247,bwt,atla1278,Atlantic-Congo
tini1245,Tinigua,South America,2.716,-73.768,tini1245,tit,,
tuki1240,Tuki,Africa,4.64348,11.5353,tuki1240,bag,atla1278,Atlantic-Congo
mala1481,Manado Malay,Papunesia,1.48099,124.843,mala1481,xmm,aust1307,Austronesian
mesq1240,Mesqan,Africa,8.10617,38.3386,mesq1240,mvz,afro1255,Afro-Asiatic
worr1237,Worrorra,Australia,-15.612781,124.881218,worr1237,wro,worr1236,Worrorran
bila1255,Bila,Africa,1.16839,28.7626,bila1255,bip,atla1278,Atlantic-Congo
abuj1237,Abujmaria,Eurasia,,,abuj1237,mrr,drav1251,Dravidian
daza1242,Dazaga,Africa,15.7358,15.8517,daza1242,dzg,saha1256,Saharan
inor1238,Inor,Africa,7.94883,37.7968,inor1238,ior,afro1255,Afro-Asiatic
dolg1241,Dolgan,Eurasia,71.1083,94.2936,dolg1241,dlg,turk1311,Turkic
apia1248,Apiaká,South America,-7.84711,-57.91,apia1248,api,tupi1275,Tupian
marg1251,Margu,Australia,-11.1823,132.587,marg1251,mhg,marr1257,Marrku-Wurrugu
araw1273,Araweté,South America,-4.90246,-52.5001,araw1273,awt,tupi1275,Tupian
nama1264,Nama (Namibia),Africa,-25.0747,17.9767,nama1264,naq,khoe1240,Khoe-Kwadi
yuwa1242,Yuwaalaraay,Australia,-29.758184,147.923684,yuwa1242,kld,pama1250,Pama-Nyungan
baru1269,Baruga,Papunesia,-9.40132,148.761,baru1269,bjz,nucl1709,Nuclear Trans New Guinea
ewon1239,Ewondo,Africa,4.21141,11.93646,ewon1239,ewo,atla1278,Atlantic-Congo
afit1238,Afitti,Africa,12.446,30.7611,afit1238,aft,nyim1244,Nyimang
stra1244,Straits Salish,North America,48.51614,-123.757114,stra1244,str,sali1255,Salishan
sekp1241,Sekpele,Africa,7.16751,0.5886,sekp1241,lip,atla1278,Atlantic-Congo
berb1259,Berbice Creole Dutch,South America,5.3829,-58.0002,berb1259,brc,indo1319,Indo-European
kens1251,Kenswei Nsei,Africa,6.01713,10.412,kens1251,ndb,atla1278,Atlantic-Congo
chim1301,Chimariko,North America,41.0,-123.0,chim1301,cid,,
loma1260,Loma (Liberia),Africa,7.91585,-9.69906,loma1260,lom,mand1469,Mande
west2500,Western Maninkakan,Africa,13.5677,-12.8009,west2500,mlq,mand1469,Mande
tolo1259,Tolowa-Chetco,North America,41.9192,-124.1,tolo1259,tol,atha1245,Athabaskan-Eyak-Tlingit
mung1266,Mungaka,Africa,5.89752,10.0294,mung1266,mhk,atla1278,Atlantic-Congo
mpad1242,Mpade,Africa,12.4609,14.5833,mpad1242,mpi,afro1255,Afro-Asiatic
amar1271,Amurdak,Australia,-11.9876,132.878,amar1271,amg,iwai1246,Iwaidjan Proper
nant1250,Nanti,South America,-12.1018,-72.3507,nant1250,cox,araw1281,Arawakan
keig1242,Keiga,Africa,11.2064,29.3889,keig1242,kec,kadu1256,Kadugli-Krongo
mang1381,Mangarrayi,Australia,-14.7982,133.803,mang1381,mpc,mang1423,Mangarrayi-Maran
mach1268,Machinere,South America,-10.4804,-69.7683,mach1268,mpd,araw1281,Arawakan
kala1378,Kalaw Kawaw,Australia,,,kala1378,mwp,pama1250,Pama-Nyungan
amii1238,Ami,Australia,-13.5573,130.04,amii1238,amy,west2434,Western Daly
komi1269,Komi-Permyak,Eurasia,59.6602,54.7959,komi1269,koi,ural1272,Uralic
umbu1235,Umbugarla,Australia,-12.9325,131.825,umbu1235,umr,,
aona1235,Ao Naga,Eurasia,26.3241,94.3824,aona1235,njo,sino1245,Sino-Tibetan
caqu1242,Caquinte,South America,-11.4812,-73.4451,caqu1242,cot,araw1281,Arawakan
cham1312,Chamorro,Papunesia,13.438011,144.74474,cham1312,cha,aust1307,Austronesian
nima1245,Nimanbur,Australia,-17.374,123.228,nima1245,nmp,nyul1248,Nyulnyulan
ngal1292,Ngalkbun,Australia,-13.9783,133.936,ngal1292,ngk,gunw1250,Gunwinyguan
mbuk1240,Mbukushu,Africa,-17.6827,22.5026,mbuk1240,mhw,atla1278,Atlantic-Congo
wong1247,Wongo,Africa,-5.73837,20.5054,wong1247,won,atla1278,Atlantic-Congo
hebr1245,Modern Hebrew,Eurasia,31.1056,35.0179,hebr1245,heb,afro1255,Afro-Asiatic
gund1246,Kundjeyhmi,Australia,,,gund1246,gup,gunw1250,Gunwinyguan
eggo1239,Eggon,Africa,8.71442,8.45686,eggo1239,ego,atla1278,Atlantic-Congo
befa1241,Befang,Africa,6.27562,10.0342,befa1241,bby,atla1278,Atlantic-Congo
guwa1242,Guwa,Australia,-21.35147706,142.5243782,guwa1242,xgw,pama1250,Pama-Nyungan
wand1263,Wandarang,Australia,-14.2996,135.705,wand1263,wnd,mang1423,Mangarrayi-Maran
fang1248,Fang (Cameroon),Africa,6.54384,10.319,fang1248,fak,atla1278,Atlantic-Congo
yaku1245,Sakha,Eurasia,61.6974,133.98,yaku1245,sah,turk1311,Turkic
saur1249,Sauria Paharia,Eurasia,24.8124,87.6432,saur1249,mjt,drav1251,Dravidian
taro1263,Tarok,Africa,8.98356,10.0288,taro1263,yer,atla1278,Atlantic-Congo
kory1246,Koryak,Eurasia,63.8977,166.695,kory1246,kpy,chuk1271,Chukotko-Kamchatkan
ngar1296,Ngarla,Australia,-20.20748,119.30579,ngar1296,nrk,pama1250,Pama-Nyungan
trio1238,Trió,South America,2.53616,-55.7599,trio1238,tri,cari1283,Cariban
kiny1244,Kinyarwanda,Africa,-1.56771,29.6441,kiny1244,kin,atla1278,Atlantic-Congo
astu1245,Asturian-Leonese-Cantabrian,Eurasia,42.4181,-6.02227,astu1245,ast,indo1319,Indo-European
